day,population,activities,time,time_in_minutes
Year 2014_Saturday,30 - 44 years,Voluntary work and meetings,01:54,114
Year 2014_Saturday,30 - 44 years, Organisational work ,02:47,167
Year 2014_Saturday,30 - 44 years, Informal help to other households,01:33,93
Year 2014_Saturday,30 - 44 years,Participatory activities,01:22,82
Year 2014_Saturday,30 - 44 years,Social life and entertainment  ,02:12,132
Year 2014_Saturday,30 - 44 years, Sociability,00:50,50
Year 2014_Saturday,30 - 44 years, Visiting and receiving visitors,01:37,97
Year 2014_Saturday,30 - 44 years, Culture,02:13,133
Year 2014_Saturday,30 - 44 years, Entertainment ,02:47,167
Year 2014_Saturday,30 - 44 years, Resting — Time out,00:24,24
Year 2014_Saturday,30 - 44 years,Sports and outdoor activities ,02:00,120
Year 2014_Saturday,30 - 44 years, Sports,01:58,118
Year 2014_Saturday,30 - 44 years,Outdoor activities ,03:50,230
Year 2014_Saturday,30 - 44 years,Hobbies and games,01:25,85
Year 2014_Saturday,30 - 44 years, Arts,01:27,87
Year 2014_Saturday,30 - 44 years, Collecting,,
Year 2014_Saturday,30 - 44 years, Computing,01:10,70
Year 2014_Saturday,30 - 44 years, Games,01:09,69
Year 2014_Saturday,30 - 44 years,Media,02:42,162
Year 2014_Saturday,30 - 44 years, Reading,01:27,87
Year 2014_Saturday,30 - 44 years," TV, video and dvd",02:24,144
Year 2014_Saturday,30 - 44 years," Listening to radio, music",00:20,20
Year 2014_Saturday,30 - 44 years,Travel,01:47,107
Year 2014_Saturday,30 - 44 years, Travel related to eating,00:40,40
Year 2014_Saturday,30 - 44 years, Travel to/from work,00:55,55
Year 2014_Saturday,30 - 44 years, Travel related to study,00:54,54
Year 2014_Saturday,30 - 44 years, Travel related to household care,00:57,57
Year 2014_Saturday,30 - 44 years, Travel related to voluntary work and meetings ,00:48,48
Year 2014_Saturday,30 - 44 years, Travel related to social life,01:11,71
Year 2014_Saturday,30 - 44 years, Travel related to sports,00:43,43
Year 2014_Saturday,30 - 44 years, Travel related to changing locality,,
Year 2014_Saturday,45 - 59 years,Personal care,12:08,728
Year 2014_Saturday,45 - 59 years,Sleep,08:54,534
Year 2014_Saturday,45 - 59 years,Eating,02:14,134
Year 2014_Saturday,45 - 59 years,Other personal care,01:02,62
Year 2014_Saturday,45 - 59 years,Employment,06:16,376
Year 2014_Saturday,45 - 59 years, Main job,06:15,375
Year 2014_Saturday,45 - 59 years, Job seeking,,
Year 2014_Saturday,45 - 59 years, Second job,07:50,470
Year 2014_Saturday,45 - 59 years,Study,01:57,117
Year 2014_Saturday,45 - 59 years, School or university,,
Year 2014_Saturday,45 - 59 years, Homework,,
Year 2014_Saturday,45 - 59 years, Free time study,01:57,117
Year 2014_Saturday,45 - 59 years,Household and family care,04:13,253
Year 2014_Saturday,45 - 59 years, Food management,01:20,80
Year 2014_Saturday,45 - 59 years, Household upkeep,01:16,76
Year 2014_Saturday,45 - 59 years, Making and care for textiles,01:03,63
Year 2014_Saturday,45 - 59 years, Gardening and pet care,01:31,91
Year 2014_Saturday,45 - 59 years, Construction and repairs,01:50,110
Year 2014_Saturday,45 - 59 years, Shopping and services (excluding online services),01:36,96
Year 2014_Saturday,45 - 59 years, Household management (excluding online services),00:51,51
Year 2014_Saturday,45 - 59 years, Childcare (less than 17 years) ,01:35,95
Year 2014_Saturday,45 - 59 years, Help to an adult household member ,01:11,71
Year 2014_Saturday,45 - 59 years,Voluntary work and meetings,01:54,114
Year 2014_Saturday,45 - 59 years, Organisational work ,02:46,166
Year 2014_Saturday,45 - 59 years, Informal help to other households,01:34,94
Year 2014_Saturday,45 - 59 years,Participatory activities,01:09,69
Year 2014_Saturday,45 - 59 years,Social life and entertainment  ,01:47,107
Year 2014_Saturday,45 - 59 years, Sociability,00:50,50
Year 2014_Saturday,45 - 59 years, Visiting and receiving visitors,01:39,99
Year 2014_Saturday,45 - 59 years, Culture,02:18,138
Year 2014_Saturday,45 - 59 years, Entertainment ,02:27,147
Year 2014_Saturday,45 - 59 years, Resting — Time out,00:33,33
Year 2014_Saturday,45 - 59 years,Sports and outdoor activities ,01:49,109
Year 2014_Saturday,45 - 59 years, Sports,01:46,106
Year 2014_Saturday,45 - 59 years,Outdoor activities ,02:55,175
Year 2014_Saturday,45 - 59 years,Hobbies and games,01:31,91
Year 2014_Saturday,45 - 59 years, Arts,01:35,95
Year 2014_Saturday,45 - 59 years, Collecting,01:00,60
Year 2014_Saturday,45 - 59 years, Computing,01:23,83
Year 2014_Saturday,45 - 59 years, Games,01:04,64
Year 2014_Saturday,45 - 59 years,Media,03:03,183
Year 2014_Saturday,45 - 59 years, Reading,01:07,67
Year 2014_Saturday,45 - 59 years," TV, video and dvd",02:50,170
Year 2014_Saturday,45 - 59 years," Listening to radio, music",00:38,38
Year 2014_Saturday,45 - 59 years,Travel,01:43,103
Year 2014_Saturday,45 - 59 years, Travel related to eating,00:36,36
Year 2014_Saturday,45 - 59 years, Travel to/from work,01:04,64
Year 2014_Saturday,45 - 59 years, Travel related to study,00:30,30
Year 2014_Saturday,45 - 59 years, Travel related to household care,01:07,67
Year 2014_Saturday,45 - 59 years, Travel related to voluntary work and meetings ,00:56,56
Year 2014_Saturday,45 - 59 years, Travel related to social life,01:09,69
Year 2014_Saturday,45 - 59 years, Travel related to sports,00:40,40
Year 2014_Saturday,45 - 59 years, Travel related to changing locality,,
Year 2014_Saturday,60 - 74 years,Personal care,12:06,726
Year 2014_Saturday,60 - 74 years,Sleep,08:46,526
Year 2014_Saturday,60 - 74 years,Eating,02:12,132
Year 2014_Saturday,60 - 74 years,Other personal care,01:10,70
Year 2014_Saturday,60 - 74 years,Employment,04:26,266
Year 2014_Saturday,60 - 74 years, Main job,07:20,440
Year 2014_Saturday,60 - 74 years, Job seeking,,
Year 2014_Saturday,60 - 74 years, Second job,03:23,203
Year 2014_Saturday,60 - 74 years,Study,05:30,330
Year 2014_Saturday,60 - 74 years, School or university,,
Year 2014_Saturday,60 - 74 years, Homework,,
Year 2014_Saturday,60 - 74 years, Free time study,05:30,330
Year 2014_Saturday,60 - 74 years,Household and family care,04:05,245
Year 2014_Saturday,60 - 74 years, Food management,01:22,82
Year 2014_Saturday,60 - 74 years, Household upkeep,01:18,78
Year 2014_Saturday,60 - 74 years, Making and care for textiles,00:55,55
Year 2014_Saturday,60 - 74 years, Gardening and pet care,01:47,107
Year 2014_Saturday,60 - 74 years, Construction and repairs,01:34,94
Year 2014_Saturday,60 - 74 years, Shopping and services (excluding online services),01:13,73
Year 2014_Saturday,60 - 74 years, Household management (excluding online services),00:47,47
Year 2014_Saturday,60 - 74 years, Childcare (less than 17 years) ,01:36,96
Year 2014_Saturday,60 - 74 years, Help to an adult household member ,01:28,88
Year 2014_Saturday,60 - 74 years,Voluntary work and meetings,02:24,144
Year 2014_Saturday,60 - 74 years, Organisational work ,04:30,270
Year 2014_Saturday,60 - 74 years, Informal help to other households,02:40,160
Year 2014_Saturday,60 - 74 years,Participatory activities,01:56,116
Year 2014_Saturday,60 - 74 years,Social life and entertainment  ,02:00,120
Year 2014_Saturday,60 - 74 years, Sociability,00:36,36
Year 2014_Saturday,60 - 74 years, Visiting and receiving visitors,02:22,142
Year 2014_Saturday,60 - 74 years, Culture,02:12,132
Year 2014_Saturday,60 - 74 years, Entertainment ,02:22,142
Year 2014_Saturday,60 - 74 years, Resting — Time out,00:32,32
Year 2014_Saturday,60 - 74 years,Sports and outdoor activities ,01:49,109
Year 2014_Saturday,60 - 74 years, Sports,01:46,106
Year 2014_Saturday,60 - 74 years,Outdoor activities ,02:38,158
Year 2014_Saturday,60 - 74 years,Hobbies and games,01:17,77
Year 2014_Saturday,60 - 74 years, Arts,01:17,77
Year 2014_Saturday,60 - 74 years, Collecting,01:00,60
Year 2014_Saturday,60 - 74 years, Computing,01:08,68
Year 2014_Saturday,60 - 74 years, Games,00:55,55
Year 2014_Saturday,60 - 74 years,Media,03:36,216
Year 2014_Saturday,60 - 74 years, Reading,01:01,61
Year 2014_Saturday,60 - 74 years," TV, video and dvd",03:14,194
Year 2014_Saturday,60 - 74 years," Listening to radio, music",00:44,44
Year 2014_Saturday,60 - 74 years,Travel,01:36,96
Year 2014_Saturday,60 - 74 years, Travel related to eating,01:08,68
Year 2014_Saturday,60 - 74 years, Travel to/from work,01:17,77
Year 2014_Saturday,60 - 74 years, Travel related to study,,
Year 2014_Saturday,60 - 74 years, Travel related to household care,00:44,44
Year 2014_Saturday,60 - 74 years, Travel related to voluntary work and meetings ,00:28,28
Year 2014_Saturday,60 - 74 years, Travel related to social life,01:27,87
Year 2014_Saturday,60 - 74 years, Travel related to sports,01:23,83
Year 2014_Saturday,60 - 74 years, Travel related to changing locality,00:50,50
Year 2014_Saturday,Luxembourgish,Personal care,12:04,724
Year 2014_Saturday,Luxembourgish,Sleep,08:54,534
Year 2014_Saturday,Luxembourgish,Eating,02:06,126
Year 2014_Saturday,Luxembourgish,Other personal care,01:07,67
Year 2014_Saturday,Luxembourgish,Employment,06:25,385
Year 2014_Saturday,Luxembourgish, Main job,06:33,393
Year 2014_Saturday,Luxembourgish, Job seeking,,
Year 2014_Saturday,Luxembourgish, Second job,04:37,277
Year 2014_Saturday,Luxembourgish,Study,02:55,175
Year 2014_Saturday,Luxembourgish, School or university,05:00,300
Year 2014_Saturday,Luxembourgish, Homework,02:23,143
Year 2014_Saturday,Luxembourgish, Free time study,03:27,207
Year 2014_Saturday,Luxembourgish,Household and family care,03:29,209
Year 2014_Saturday,Luxembourgish, Food management,01:06,66
Year 2014_Saturday,Luxembourgish, Household upkeep,01:07,67
Year 2014_Saturday,Luxembourgish, Making and care for textiles,01:03,63
Year 2014_Saturday,Luxembourgish, Gardening and pet care,01:31,91
Year 2014_Saturday,Luxembourgish, Construction and repairs,02:01,121
Year 2014_Saturday,Luxembourgish, Shopping and services (excluding online services),01:12,72
Year 2014_Saturday,Luxembourgish, Household management (excluding online services),00:43,43
Year 2014_Saturday,Luxembourgish, Childcare (less than 17 years) ,01:36,96
Year 2014_Saturday,Luxembourgish, Help to an adult household member ,00:56,56
Year 2014_Saturday,Luxembourgish,Voluntary work and meetings,02:34,154
Year 2014_Saturday,Luxembourgish, Organisational work ,03:40,220
Year 2014_Saturday,Luxembourgish, Informal help to other households,01:54,114
Year 2014_Saturday,Luxembourgish,Participatory activities,02:15,135
Year 2014_Saturday,Luxembourgish,Social life and entertainment  ,02:34,154
Year 2014_Saturday,Luxembourgish, Sociability,00:45,45
Year 2014_Saturday,Luxembourgish, Visiting and receiving visitors,02:16,136
Year 2014_Saturday,Luxembourgish, Culture,02:28,148
Year 2014_Saturday,Luxembourgish, Entertainment ,03:21,201
Year 2014_Saturday,Luxembourgish, Resting — Time out,00:37,37
Year 2014_Saturday,Luxembourgish,Sports and outdoor activities ,02:03,123
Year 2014_Saturday,Luxembourgish, Sports,02:01,121
Year 2014_Saturday,Luxembourgish,Outdoor activities ,02:47,167
Year 2014_Saturday,Luxembourgish,Hobbies and games,01:44,104
Year 2014_Saturday,Luxembourgish, Arts,01:13,73
Year 2014_Saturday,Luxembourgish, Collecting,01:00,60
Year 2014_Saturday,Luxembourgish, Computing,01:23,83
Year 2014_Saturday,Luxembourgish, Games,01:45,105
Year 2014_Saturday,Luxembourgish,Media,02:59,179
Year 2014_Saturday,Luxembourgish, Reading,01:05,65
Year 2014_Saturday,Luxembourgish," TV, video and dvd",02:44,164
Year 2014_Saturday,Luxembourgish," Listening to radio, music",00:48,48
Year 2014_Saturday,Luxembourgish,Travel,01:50,110
Year 2014_Saturday,Luxembourgish, Travel related to eating,00:42,42
Year 2014_Saturday,Luxembourgish, Travel to/from work,00:58,58
Year 2014_Saturday,Luxembourgish, Travel related to study,01:00,60
Year 2014_Saturday,Luxembourgish, Travel related to household care,00:55,55
Year 2014_Saturday,Luxembourgish, Travel related to voluntary work and meetings ,00:45,45
Year 2014_Saturday,Luxembourgish, Travel related to social life,01:22,82
Year 2014_Saturday,Luxembourgish, Travel related to sports,00:47,47
Year 2014_Saturday,Luxembourgish, Travel related to changing locality,02:48,168
Year 2014_Saturday,Portuguese,Personal care,12:31,751
Year 2014_Saturday,Portuguese,Sleep,09:30,570
Year 2014_Saturday,Portuguese,Eating,02:10,130
Year 2014_Saturday,Portuguese,Other personal care,00:53,53
Year 2014_Saturday,Portuguese,Employment,07:24,444
Year 2014_Saturday,Portuguese, Main job,07:30,450
Year 2014_Saturday,Portuguese, Job seeking,,
Year 2014_Saturday,Portuguese, Second job,04:36,276
Year 2014_Saturday,Portuguese,Study,02:08,128
Year 2014_Saturday,Portuguese, School or university,05:40,340
Year 2014_Saturday,Portuguese, Homework,01:48,108
Year 2014_Saturday,Portuguese, Free time study,00:56,56
Year 2014_Saturday,Portuguese,Household and family care,03:51,231
Year 2014_Saturday,Portuguese, Food management,01:24,84
Year 2014_Saturday,Portuguese, Household upkeep,01:19,79
Year 2014_Saturday,Portuguese, Making and care for textiles,00:59,59
Year 2014_Saturday,Portuguese, Gardening and pet care,01:29,89
Year 2014_Saturday,Portuguese, Construction and repairs,01:51,111
Year 2014_Saturday,Portuguese, Shopping and services (excluding online services),01:31,91
Year 2014_Saturday,Portuguese, Household management (excluding online services),00:54,54
Year 2014_Saturday,Portuguese, Childcare (less than 17 years) ,01:45,105
Year 2014_Saturday,Portuguese, Help to an adult household member ,01:33,93
Year 2014_Saturday,Portuguese,Voluntary work and meetings,01:31,91
Year 2014_Saturday,Portuguese, Organisational work ,,
Year 2014_Saturday,Portuguese, Informal help to other households,01:38,98
Year 2014_Saturday,Portuguese,Participatory activities,01:28,88
Year 2014_Saturday,Portuguese,Social life and entertainment  ,01:56,116
Year 2014_Saturday,Portuguese, Sociability,01:05,65
Year 2014_Saturday,Portuguese, Visiting and receiving visitors,01:33,93
Year 2014_Saturday,Portuguese, Culture,02:32,152
Year 2014_Saturday,Portuguese, Entertainment ,02:21,141
Year 2014_Saturday,Portuguese, Resting — Time out,00:33,33
Year 2014_Saturday,Portuguese,Sports and outdoor activities ,01:55,115
Year 2014_Saturday,Portuguese, Sports,01:55,115
Year 2014_Saturday,Portuguese,Outdoor activities ,,
Year 2014_Saturday,Portuguese,Hobbies and games,02:05,125
Year 2014_Saturday,Portuguese, Arts,01:19,79
Year 2014_Saturday,Portuguese, Collecting,,
Year 2014_Saturday,Portuguese, Computing,01:16,76
Year 2014_Saturday,Portuguese, Games,02:37,157
Year 2014_Saturday,Portuguese,Media,03:06,186
Year 2014_Saturday,Portuguese, Reading,01:05,65
Year 2014_Saturday,Portuguese," TV, video and dvd",03:03,183
Year 2014_Saturday,Portuguese," Listening to radio, music",00:44,44
Year 2014_Saturday,Portuguese,Travel,01:35,95
Year 2014_Saturday,Portuguese, Travel related to eating,01:00,60
Year 2014_Saturday,Portuguese, Travel to/from work,01:04,64
Year 2014_Saturday,Portuguese, Travel related to study,00:50,50
Year 2014_Saturday,Portuguese, Travel related to household care,00:58,58
Year 2014_Saturday,Portuguese, Travel related to voluntary work and meetings ,00:40,40
Year 2014_Saturday,Portuguese, Travel related to social life,01:04,64
Year 2014_Saturday,Portuguese, Travel related to sports,00:57,57
Year 2014_Saturday,Portuguese, Travel related to changing locality,,
Year 2014_Saturday,Other nationalities,Personal care,12:25,745
Year 2014_Saturday,Other nationalities,Sleep,09:16,556
Year 2014_Saturday,Other nationalities,Eating,02:14,134
Year 2014_Saturday,Other nationalities,Other personal care,00:58,58
Year 2014_Saturday,Other nationalities,Employment,05:54,354
Year 2014_Saturday,Other nationalities, Main job,06:17,377
Year 2014_Saturday,Other nationalities, Job seeking,,
Year 2014_Saturday,Other nationalities, Second job,02:06,126
Year 2014_Saturday,Other nationalities,Study,02:23,143
Year 2014_Saturday,Other nationalities, School or university,00:30,30
Year 2014_Saturday,Other nationalities, Homework,02:40,160
Year 2014_Saturday,Other nationalities, Free time study,01:45,105
Year 2014_Saturday,Other nationalities,Household and family care,03:26,206
Year 2014_Saturday,Other nationalities, Food management,01:11,71
Year 2014_Saturday,Other nationalities, Household upkeep,01:04,64
Year 2014_Saturday,Other nationalities, Making and care for textiles,00:43,43
Year 2014_Saturday,Other nationalities, Gardening and pet care,01:02,62
Year 2014_Saturday,Other nationalities, Construction and repairs,01:09,69
Year 2014_Saturday,Other nationalities, Shopping and services (excluding online services),01:27,87
Year 2014_Saturday,Other nationalities, Household management (excluding online services),00:50,50
Year 2014_Saturday,Other nationalities, Childcare (less than 17 years) ,02:14,134
Year 2014_Saturday,Other nationalities, Help to an adult household member ,,
Year 2014_Saturday,Other nationalities,Voluntary work and meetings,01:52,112
Year 2014_Saturday,Other nationalities, Organisational work ,01:51,111
Year 2014_Saturday,Other nationalities, Informal help to other households,01:54,114
Year 2014_Saturday,Other nationalities,Participatory activities,01:44,104
Year 2014_Saturday,Other nationalities,Social life and entertainment  ,02:08,128
Year 2014_Saturday,Other nationalities, Sociability,00:58,58
Year 2014_Saturday,Other nationalities, Visiting and receiving visitors,01:31,91
Year 2014_Saturday,Other nationalities, Culture,02:03,123
Year 2014_Saturday,Other nationalities, Entertainment ,02:59,179
Year 2014_Saturday,Other nationalities, Resting — Time out,00:25,25
Year 2014_Saturday,Other nationalities,Sports and outdoor activities ,02:06,126
Year 2014_Saturday,Other nationalities, Sports,02:06,126
Year 2014_Saturday,Other nationalities,Outdoor activities ,01:20,80
Year 2014_Saturday,Other nationalities,Hobbies and games,01:52,112
Year 2014_Saturday,Other nationalities, Arts,02:23,143
Year 2014_Saturday,Other nationalities, Collecting,,
Year 2014_Saturday,Other nationalities, Computing,01:26,86
Year 2014_Saturday,Other nationalities, Games,01:57,117
Year 2014_Saturday,Other nationalities,Media,03:01,181
Year 2014_Saturday,Other nationalities, Reading,01:18,78
Year 2014_Saturday,Other nationalities," TV, video and dvd",02:41,161
Year 2014_Saturday,Other nationalities," Listening to radio, music",00:37,37
Year 2014_Saturday,Other nationalities,Travel,01:45,105
Year 2014_Saturday,Other nationalities, Travel related to eating,00:37,37
Year 2014_Saturday,Other nationalities, Travel to/from work,01:00,60
Year 2014_Saturday,Other nationalities, Travel related to study,00:33,33
Year 2014_Saturday,Other nationalities, Travel related to household care,01:02,62
Year 2014_Saturday,Other nationalities, Travel related to voluntary work and meetings ,00:49,49
Year 2014_Saturday,Other nationalities, Travel related to social life,01:17,77
Year 2014_Saturday,Other nationalities, Travel related to sports,00:37,37
Year 2014_Saturday,Other nationalities, Travel related to changing locality,,
Year 2014_Saturday,Single person household,Personal care,12:30,750
Year 2014_Saturday,Single person household,Sleep,09:24,564
Year 2014_Saturday,Single person household,Eating,01:57,117
Year 2014_Saturday,Single person household,Other personal care,01:14,74
Year 2014_Saturday,Single person household,Employment,05:36,336
Year 2014_Saturday,Single person household, Main job,05:36,336
Year 2014_Saturday,Single person household, Job seeking,,
Year 2014_Saturday,Single person household, Second job,,
Year 2014_Saturday,Single person household,Study,03:23,203
Year 2014_Saturday,Single person household, School or university,,
Year 2014_Saturday,Single person household, Homework,03:50,230
Year 2014_Saturday,Single person household, Free time study,03:00,180
Year 2014_Saturday,Single person household,Household and family care,02:58,178
Year 2014_Saturday,Single person household, Food management,00:54,54
Year 2014_Saturday,Single person household, Household upkeep,00:48,48
Year 2014_Saturday,Single person household, Making and care for textiles,00:51,51
Year 2014_Saturday,Single person household, Gardening and pet care,01:21,81
Year 2014_Saturday,Single person household, Construction and repairs,00:20,20
Year 2014_Saturday,Single person household, Shopping and services (excluding online services),01:19,79
Year 2014_Saturday,Single person household, Household management (excluding online services),00:54,54
Year 2014_Saturday,Single person household, Childcare (less than 17 years) ,,
Year 2014_Saturday,Single person household, Help to an adult household member ,,
Year 2014_Saturday,Single person household,Voluntary work and meetings,01:50,110
Year 2014_Saturday,Single person household, Organisational work ,01:49,109
Year 2014_Saturday,Single person household, Informal help to other households,01:47,107
Year 2014_Saturday,Single person household,Participatory activities,00:10,10
Year 2014_Saturday,Single person household,Social life and entertainment  ,02:34,154
Year 2014_Saturday,Single person household, Sociability,00:55,55
Year 2014_Saturday,Single person household, Visiting and receiving visitors,01:35,95
Year 2014_Saturday,Single person household, Culture,02:03,123
Year 2014_Saturday,Single person household, Entertainment ,02:35,155
Year 2014_Saturday,Single person household, Resting — Time out,00:26,26
Year 2014_Saturday,Single person household,Sports and outdoor activities ,01:37,97
Year 2014_Saturday,Single person household, Sports,01:37,97
Year 2014_Saturday,Single person household,Outdoor activities ,,
Year 2014_Saturday,Single person household,Hobbies and games,01:13,73
Year 2014_Saturday,Single person household, Arts,01:06,66
Year 2014_Saturday,Single person household, Collecting,,
Year 2014_Saturday,Single person household, Computing,01:03,63
Year 2014_Saturday,Single person household, Games,00:51,51
Year 2014_Saturday,Single person household,Media,03:11,191
Year 2014_Saturday,Single person household, Reading,01:51,111
Year 2014_Saturday,Single person household," TV, video and dvd",02:38,158
Year 2014_Saturday,Single person household," Listening to radio, music",00:33,33
Year 2014_Saturday,Single person household,Travel,01:53,113
Year 2014_Saturday,Single person household, Travel related to eating,00:27,27
Year 2014_Saturday,Single person household, Travel to/from work,00:50,50
Year 2014_Saturday,Single person household, Travel related to study,,
Year 2014_Saturday,Single person household, Travel related to household care,00:57,57
Year 2014_Saturday,Single person household, Travel related to voluntary work and meetings ,00:28,28
Year 2014_Saturday,Single person household, Travel related to social life,01:07,67
Year 2014_Saturday,Single person household, Travel related to sports,00:44,44
Year 2014_Saturday,Single person household, Travel related to changing locality,,
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Personal care,11:47,707
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Sleep,08:36,516
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Eating,02:17,137
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Other personal care,00:55,55
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Employment,06:30,390
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Main job,06:30,390
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Job seeking,,
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Second job,07:50,470
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Study,03:26,206
Year 2014_Saturday,Two or more adults and at least one child (<18 years), School or university,00:40,40
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Homework,02:30,150
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Free time study,03:30,210
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Household and family care,04:35,275
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Food management,01:15,75
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Household upkeep,01:06,66
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Making and care for textiles,01:02,62
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Gardening and pet care,01:25,85
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Construction and repairs,02:04,124
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Shopping and services (excluding online services),01:16,76
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Household management (excluding online services),00:43,43
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Childcare (less than 17 years) ,01:54,114
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Help to an adult household member ,00:20,20
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Voluntary work and meetings,01:51,111
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Organisational work ,02:20,140
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Informal help to other households,01:30,90
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Participatory activities,01:44,104
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Social life and entertainment  ,02:00,120
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Sociability,00:48,48
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Visiting and receiving visitors,01:33,93
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Culture,02:28,148
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Entertainment ,03:08,188
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Resting — Time out,00:28,28
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Sports and outdoor activities ,02:06,126
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Sports,02:01,121
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Outdoor activities ,03:15,195
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Hobbies and games,01:22,82
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Arts,00:48,48
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Collecting,01:00,60
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Computing,01:14,74
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Games,01:02,62
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Media,02:30,150
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Reading,00:58,58
Year 2014_Saturday,Two or more adults and at least one child (<18 years)," TV, video and dvd",02:20,140
Year 2014_Saturday,Two or more adults and at least one child (<18 years)," Listening to radio, music",00:26,26
Year 2014_Saturday,Two or more adults and at least one child (<18 years),Travel,01:43,103
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Travel related to eating,00:41,41
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Travel to/from work,00:57,57
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Travel related to study,00:50,50
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Travel related to household care,00:59,59
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Travel related to voluntary work and meetings ,01:02,62
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Travel related to social life,01:12,72
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Travel related to sports,00:49,49
Year 2014_Saturday,Two or more adults and at least one child (<18 years), Travel related to changing locality,,
Year 2014_Saturday,"Two or more adults, no children (<18 years)",Personal care,12:15,735
Year 2014_Saturday,"Two or more adults, no children (<18 years)",Sleep,09:02,542
Year 2014_Saturday,"Two or more adults, no children (<18 years)",Eating,02:17,137
Year 2014_Saturday,"Two or more adults, no children (<18 years)",Other personal care,00:58,58
Year 2014_Saturday,"Two or more adults, no children (<18 years)",Employment,06:33,393
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Main job,06:39,399
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Job seeking,,
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Second job,01:10,70
Year 2014_Saturday,"Two or more adults, no children (<18 years)",Study,02:24,144
Year 2014_Saturday,"Two or more adults, no children (<18 years)", School or university,,
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Homework,04:21,261
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Free time study,01:37,97
Year 2014_Saturday,"Two or more adults, no children (<18 years)",Household and family care,03:42,222
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Food management,01:17,77
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Household upkeep,01:16,76
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Making and care for textiles,00:59,59
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Gardening and pet care,01:19,79
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Construction and repairs,01:55,115
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Shopping and services (excluding online services),01:33,93
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Household management (excluding online services),00:47,47
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Childcare (less than 17 years) ,,
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Help to an adult household member ,01:23,83
Year 2014_Saturday,"Two or more adults, no children (<18 years)",Voluntary work and meetings,02:06,126
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Organisational work ,03:51,231
Year 2014_Saturday,"Two or more adults, no children (<18 years)", Informal help to other households,01:28,88
